Tratamentos,COL,VEG,LOC, S, N,H
AZUL,COL1,PASTO,BACIA1,3,3,1.099
VERM,COL1,PASTO,BACIA1,1,1,0
AMAR,COL1,PASTO,BACIA1,2,2,0.6931
VERM,COL1,CANA,BACIA1,1,1,0
AMAR,COL1,CANA,BACIA1,3,3,1.099
BRAN,COL1,CANA,BACIA1,1,1,0
AZUL,COL1,FLOR,BACIA2,2,2,0.6931
BRAN,COL1,FLOR,BACIA2,1,1,0
AZUL,COL1,CANA,BACIA2,1,1,0
AMAR,COL1,CANA,BACIA2,1,3,0
BRAN,COL1,CANA,BACIA2,3,3,1.099
AZUL,COL1,PASTO,BACIA2,1,1,0
AZUL,COL1,CANA,BACIA3,3,3,1.099
BRAN,COL1,CANA,BACIA3,1,1,0
VERM,COL1,FLOR,BACIA3,0,0,0
AZUL,COL1,PASTO,BACIA4,5,5,1.609
BRAN,COL1,PASTO,BACIA4,4,5,1.332
AMAR,COL1,PASTO,BACIA4,4,4,1.386
AZUL,COL1,FLOR,BACIA4,5,6,1.561
VERM,COL1,FLOR,BACIA4,1,1,0
BRAN,COL1,FLOR,BACIA4,2,4,0.5623
BRAN,COL1,CANA,BACIA4,1,1,0
AMAR,COL1,CANA,BACIA4,1,1,0
AZUL,COL1,PASTO,BACIA6,3,3,1.099
AMAR,COL1,PASTO,BACIA6,1,1,0
BRAN,COL1,PASTO,BACIA6,1,1,0
BRAN,COL1,CANA,BACIA6,4,4,1.386
AZUL,COL1,FLOR,BACIA6,2,2,0.6931
AMAR,COL1,FLOR,BACIA6,2,2,0.6931
BRAN,COL1,FLOR,BACIA6,0,0,0
AMAR,COL2,CANA,BACIA1,3,23,0.6915
VERM,COL2,CANA,BACIA1,1,1,0
AZUL,COL2,CANA,BACIA1,4,9,1.311
BRAN,COL2,CANA,BACIA1,4,5,1.332
BRAN,COL2,PASTO,BACIA1,1,1,0
AZUL,COL2,PASTO,BACIA1,4,5,1.332
AMAR,COL2,PASTO,BACIA1,5,10,1.505
AMAR,COL2,FLOR,BACIA1,5,5,1.609
AZUL,COL2,FLOR,BACIA1,5,6,1.561
BRAN,COL2,CANA,BACIA2,1,1,0
AZUL,COL2,CANA,BACIA2,2,2,0.6931
AMAR,COL2,CANA,BACIA2,3,4,1.04
VERM,COL2,FLOR,BACIA2,1,1,0
AMAR,COL2,FLOR,BACIA2,2,4,0.6931
BRAN,COL2,FLOR,BACIA2,4,8,1.074
AZUL,COL2,FLOR,BACIA2,5,14,0.9944
AMAR,COL2,PASTO,BACIA2,7,12,1.748
AZUL,COL2,PASTO,BACIA2,3,4,1.04
BRAN,COL2,PASTO,BACIA2,2,3,0.6365
AMAR,COL2,PASTO,BACIA3,4,14,0.8953
VERM,COL2,PASTO,BACIA3,1,1,0
AZUL,COL2,PASTO,BACIA3,5,6,1.561
BRAN,COL2,PASTO,BACIA3,3,4,1.04
BRAN,COL2,FLOR,BACIA3,5,6,1.561
VERM,COL2,FLOR,BACIA3,3,4,1.04
AMAR,COL2,FLOR,BACIA3,5,6,1.561
AZUL,COL2,FLOR,BACIA3,6,8,1.733
AMAR,COL2,CANA,BACIA3,4,4,1.386
BRAN,COL2,CANA,BACIA3,2,3,0.6365
AZUL,COL2,CANA,BACIA3,3,3,1.099
BRAN,COL2,CANA,BACIA4,2,5,0.673
AMAR,COL2,CANA,BACIA4,2,3,0.6365
AZUL,COL2,CANA,BACIA4,2,2,0.6931
AZUL,COL2,PASTO,BACIA4,6,9,1.735
AMAR,COL2,PASTO,BACIA4,4,9,1.149
VERM,COL2,PASTO,BACIA4,3,3,1.099
BRAN,COL2,PASTO,BACIA4,3,9,0.965
AMAR,COL2,FLOR,BACIA4,3,3,1.099
VERM,COL2,FLOR,BACIA4,1,1,0
BRAN,COL2,FLOR,BACIA4,2,2,0.6931
AZUL,COL2,FLOR,BACIA4,8,11,2.02
AZUL,COL2,FLOR,BACIA6,5,6,1.561
BRAN,COL2,FLOR,BACIA6,2,2,0.6931
AMAR,COL2,FLOR,BACIA6,9,10,2.164
VERM,COL2,FLOR,BACIA6,4,4,1.386
VERM,COL2,CANA,BACIA6,1,1,0
AZUL,COL2,CANA,BACIA6,3,3,1.099
BRAN,COL2,CANA,BACIA6,4,5,1.332
AMAR,COL2,CANA,BACIA6,10,17,2.17
BRAN,COL2,PASTO,BACIA6,3,4,1.04
AMAR,COL2,PASTO,BACIA6,3,6,1.011
AZUL,COL2,PASTO,BACIA6,5,7,1.55
